Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2017-08-12,17:30,Matchweek 1,Sat,Away,W,2,0,Brighton,1.9,0.3,77,"30,415",Vincent Kompany,3-1-4-2,4-4-2,Michael Oliver,Match Report,
2017-08-21,20:00,Matchweek 2,Mon,Home,D,1,1,Everton,1.1,0.6,64,"49,108",Vincent Kompany,3-1-4-2,3-5-2,Robert Madley,Match Report,
2017-08-26,12:30,Matchweek 3,Sat,Away,W,2,1,Bournemouth,1.4,0.5,70,"10,419",Vincent Kompany,4-3-3,5-3-2,Mike Dean,Match Report,
2017-09-09,12:30,Matchweek 4,Sat,Home,W,5,0,Liverpool,2.4,0.7,66,"54,172",David Silva,3-1-4-2,4-3-3,Jonathan Moss,Match Report,
2017-09-16,15:00,Matchweek 5,Sat,Away,W,6,0,Watford,3.3,0.5,67,"20,305",David Silva,4-3-3,4-2-3-1,Anthony Taylor,Match Report,
2017-09-23,15:00,Matchweek 6,Sat,Home,W,5,0,Crystal Palace,4.5,0.6,71,"53,526",David Silva,4-3-3,4-2-3-1,Niel Swarbrick,Match Report,
2017-09-30,17:30,Matchweek 7,Sat,Away,W,1,0,Chelsea,0.9,0.5,61,"41,530",David Silva,4-3-3,3-5-1-1,Martin Atkinson,Match Report,
2017-10-14,15:00,Matchweek 8,Sat,Home,W,7,2,Stoke City,3.8,0.5,79,"54,128",David Silva,4-3-3,4-4-1-1,Craig Pawson,Match Report,
2017-10-21,15:00,Matchweek 9,Sat,Home,W,3,0,Burnley,3.1,0.2,77,"54,118",David Silva,4-3-3,4-4-1-1,Roger East,Match Report,
2017-10-28,15:00,Matchweek 10,Sat,Away,W,3,2,West Brom,2.3,1.5,77,"24,003",David Silva,4-3-3,3-5-2,Mike Jones,Match Report,
2017-11-05,14:15,Matchweek 11,Sun,Home,W,3,1,Arsenal,1.8,0.3,57,"54,286",David Silva,4-3-3,3-4-3,Michael Oliver,Match Report,
2017-11-18,15:00,Matchweek 12,Sat,Away,W,2,0,Leicester City,1.9,0.2,73,"31,908",Vincent Kompany,4-3-3,4-4-1-1,Graham Scott,Match Report,
2017-11-26,16:00,Matchweek 13,Sun,Away,W,2,1,Huddersfield,2.6,0.6,78,"24,121",Vincent Kompany,4-3-3,4-5-1,Craig Pawson,Match Report,
2017-11-29,20:00,Matchweek 14,Wed,Home,W,2,1,Southampton,1.4,1.3,74,"53,407",Vincent Kompany,4-3-3,5-4-1,Paul Tierney,Match Report,
2017-12-03,16:00,Matchweek 15,Sun,Home,W,2,1,West Ham,2.3,0.6,76,"54,203",David Silva,4-3-3,3-5-1-1,Mike Dean,Match Report,
2017-12-10,16:30,Matchweek 16,Sun,Away,W,2,1,Manchester Utd,1.7,1.4,64,"74,847",Vincent Kompany,4-3-3,4-2-3-1,Michael Oliver,Match Report,
2017-12-13,19:45,Matchweek 17,Wed,Away,W,4,0,Swansea City,2.7,0.6,78,"20,870",David Silva,4-3-3,4-5-1,Anthony Taylor,Match Report,
