Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2018-08-12,16:00,Matchweek 1,Sun,Away,W,2,0,Arsenal,1.7,0.5,58,"59,934",Fernandinho,4-2-3-1,4-2-3-1,Michael Oliver,Match Report,
2018-08-19,13:30,Matchweek 2,Sun,Home,W,6,1,Huddersfield,4.2,0.7,76,"54,021",Vincent Kompany,3-1-4-2,4-4-2,Andre Marriner,Match Report,
2018-08-25,12:30,Matchweek 3,Sat,Away,D,1,1,Wolves,1.6,1.0,71,"31,322",Vincent Kompany,4-3-3,3-4-3,Martin Atkinson,Match Report,
2018-09-01,17:30,Matchweek 4,Sat,Home,W,2,1,Newcastle Utd,2.0,0.5,78,"53,946",David Silva,4-1-3-2,5-4-1,Kevin Friend,Match Report,
2018-09-15,15:00,Matchweek 5,Sat,Home,W,3,0,Fulham,4.8,0.4,64,"53,307",David Silva,4-3-3,4-3-3,Stuart Attwell,Match Report,
2018-09-22,15:00,Matchweek 6,Sat,Away,W,5,0,Cardiff City,2.5,0.1,78,"32,321",Fernandinho,4-3-3,4-4-1-1,Michael Oliver,Match Report,
2018-09-29,15:00,Matchweek 7,Sat,Home,W,2,0,Brighton,2.7,0.2,79,"54,152",David Silva,4-3-3,4-1-4-1,Lee Mason,Match Report,
2018-10-07,16:30,Matchweek 8,Sun,Away,D,0,0,Liverpool,1.0,0.4,51,"52,117",David Silva,4-2-3-1,4-3-3,Martin Atkinson,Match Report,
2018-10-20,15:00,Matchweek 9,Sat,Home,W,5,0,Burnley,4.0,0.4,69,"54,094",Vincent Kompany,4-3-3,4-4-1-1,Jonathan Moss,Match Report,
2018-10-29,20:00,Matchweek 10,Mon,Away,W,1,0,Tottenham,1.6,0.4,51,"56,854",David Silva,4-3-3,4-2-3-1,Kevin Friend,Match Report,
2018-11-04,15:00,Matchweek 11,Sun,Home,W,6,1,Southampton,2.2,2.0,66,"53,916",David Silva,4-3-3,4-3-2-1,Lee Mason,Match Report,
2018-11-11,16:30,Matchweek 12,Sun,Home,W,3,1,Manchester Utd,1.9,1.1,65,"54,316",David Silva,4-3-3,4-3-3,Anthony Taylor,Match Report,
2018-11-24,15:00,Matchweek 13,Sat,Away,W,4,0,West Ham,2.7,0.9,69,"56,886",David Silva,4-3-3,4-2-3-1,Andre Marriner,Match Report,
2018-12-01,15:00,Matchweek 14,Sat,Home,W,3,1,Bournemouth,2.6,0.6,72,"54,409",Fernandinho,4-3-3,5-4-1,Stuart Attwell,Match Report,
2018-12-04,20:00,Matchweek 15,Tue,Away,W,2,1,Watford,2.5,1.8,70,"20,389",Vincent Kompany,4-3-3,4-1-4-1,Paul Tierney,Match Report,
2018-12-08,17:30,Matchweek 16,Sat,Away,L,0,2,Chelsea,0.9,0.6,61,"40,571",David Silva,4-3-3,4-3-3,Michael Oliver,Match Report,
2018-12-15,12:30,Matchweek 17,Sat,Home,W,3,1,Everton,1.7,1.5,67,"54,173",Fernandinho,4-3-3,5-4-1,Craig Pawson,Match Report,
2018-12-22,15:00,Matchweek 18,Sat,Home,L,2,3,Crystal Palace,1.5,0.9,78,"54,340",Fabian Delph,4-3-3,4-5-1,Andre Marriner,Match Report,
2018-12-26,15:00,Matchweek 19,Wed,Away,L,1,2,Leicester City,1.4,1.3,66,"32,090",Sergio Agüero,4-3-3,4-3-3,Mike Dean,Match Report,
2018-12-30,14:15,Matchweek 20,Sun,Away,W,3,1,Southampton,2.5,0.2,76,"31,381",Vincent Kompany,4-3-3,4-3-2-1,Paul Tierney,Match Report,
2019-01-03,20:00,Matchweek 21,Thu,Home,W,2,1,Liverpool,1.1,1.5,49,"54,511",Vincent Kompany,4-3-3,4-3-3,Anthony Taylor,Match Report,
2019-01-14,20:00,Matchweek 22,Mon,Home,W,3,0,Wolves,2.8,0.1,76,"54,171",David Silva,4-3-3,3-5-2,Craig Pawson,Match Report,
2019-01-20,13:30,Matchweek 23,Sun,Away,W,3,0,Huddersfield,2.0,0.9,67,"24,190",Fernandinho,4-3-3,4-5-1,Andre Marriner,Match Report,
2019-01-29,20:00,Matchweek 24,Tue,Away,L,1,2,Newcastle Utd,1.4,1.1,75,"50,861",David Silva,4-3-3,5-4-1,Paul Tierney,Match Report,
2019-02-03,16:30,Matchweek 25,Sun,Home,W,3,1,Arsenal,2.7,0.7,59,"54,483",David Silva,4-3-3,4-4-2,Martin Atkinson,Match Report,
2019-02-06,19:45,Matchweek 27,Wed,Away,W,2,0,Everton,2.2,0.1,61,"39,322",David Silva,4-3-3,4-2-3-1,Craig Pawson,Match Report,
2019-02-10,16:00,Matchweek 26,Sun,Home,W,6,0,Chelsea,3.0,0.9,56,"54,452",Fernandinho,4-3-3,4-3-3,Mike Dean,Match Report,
2019-02-27,20:00,Matchweek 28,Wed,Home,W,1,0,West Ham,3.5,0.4,75,"53,528",Vincent Kompany,4-3-3,4-2-3-1,Stuart Attwell,Match Report,
2019-03-02,15:00,Matchweek 29,Sat,Away,W,1,0,Bournemouth,1.2,0.0,81,"10,699",David Silva,4-3-3,5-4-1,Kevin Friend,Match Report,
2019-03-09,17:30,Matchweek 30,Sat,Home,W,3,1,Watford,3.4,0.2,71,"54,104",Vincent Kompany,4-3-3,4-5-1,Paul Tierney,Match Report,
2019-03-30,12:30,Matchweek 32,Sat,Away,W,2,0,Fulham,1.8,0.5,65,"25,001",David Silva,4-3-3,5-4-1,Kevin Friend,Match Report,
2019-04-03,19:45,Matchweek 33,Wed,Home,W,2,0,Cardiff City,3.2,0.1,79,"53,559",Fernandinho,4-3-3,4-4-1-1,Jonathan Moss,Match Report,
2019-04-14,14:05,Matchweek 34,Sun,Away,W,3,1,Crystal Palace,2.5,0.4,73,"25,721",Vincent Kompany,4-2-3-1,4-5-1,Martin Atkinson,Match Report,
2019-04-20,12:30,Matchweek 35,Sat,Home,W,1,0,Tottenham,1.9,1.0,61,"54,489",Sergio Agüero,4-3-3,5-3-2,Michael Oliver,Match Report,
2019-04-24,20:00,Matchweek 31,Wed,Away,W,2,0,Manchester Utd,0.5,0.5,63,"74,431",Vincent Kompany,4-3-3,5-3-2,Andre Marriner,Match Report,
2019-04-28,14:05,Matchweek 36,Sun,Away,W,1,0,Burnley,2.5,0.1,69,"21,605",Vincent Kompany,4-3-3,4-4-2,Paul Tierney,Match Report,
2019-05-06,20:00,Matchweek 37,Mon,Home,W,1,0,Leicester City,1.0,0.5,61,"54,506",Vincent Kompany,4-3-3,4-5-1,Mike Dean,Match Report,
2019-05-12,15:00,Matchweek 38,Sun,Away,W,4,1,Brighton,1.6,0.5,75,"30,662",Vincent Kompany,4-4-1-1,4-5-1,Michael Oliver,Match Report,
